"X5010_1_S1"	"X5010_2_S2"	"X5010_3_S3"	"X5010_4_S4"	"X5010_5_S5"	"X5010_6_S6"	"X5010_7_S7"	"X5010_8_S8"	"X5010_9_S9"	"X5010_10_S10"	"X5010_11_S11"	"X5010_12_S12"	"X5010_13_S13"	"X5010_14_S14"	"X5010_15_S15"	"X5010_16_S16"	"X5010_17_S17"	"X5010_18_S18"	"X5010_19_S19"	"X5010_20_S20"	"X5010_21_S21"	"X5010_22_S22"	"X5010_23_S23"	"X5010_24_S24"	"X5010_25_S25"	"X5010_26_S26"
"ENA|HBXI01114182|HBXI01114182.1"	5.66802588506501	6.05123831329594	5.39960488235959	6.09507455070313	6.25480130124736	5.29130357658338	6.66174223115789	5.2762069534354	5.59374009889893	5.75660985500581	5.58939978527846	5.85564564171161	6.3348752706538	6.6425431716694	7.12499400661383	7.01195628531236	6.50329695733097	6.82282452930469	6.59804134194682	6.46760380074677	6.72761820589041	6.75480259305892	7.27728272923028	5.99807619181	6.51227783198981	7.07685756212735
"ENA|HBXI01033823|HBXI01033823.1"	12.8938679372234	12.9657889086886	13.0847803278807	13.1728984602169	12.8081751432201	12.8258088210403	13.1269652695595	12.9070304995308	12.8239654935668	12.7436145555187	12.7084167180773	12.6397830042324	12.6755011805304	12.5370121227077	12.3033354719545	12.2886883670513	12.7187842139974	12.4792839802342	12.1333697906273	12.5839134741637	12.6393579452523	12.3375834992828	12.412070209292	12.2044499622682	11.9297152825449	12.2458273008905
"ENA|HBXI01092765|HBXI01092765.1"	2.68210213793756	6.89652893432062	12.3995123976052	12.5566685774736	4.59625572437557	3.48232708417203	14.3847726987683	4.62030111502821	3.58916628160216	6.52482953793135	1.34813692973328	2.24231389692989	3.25422432314724	4.20939798921047	3.43061030237975	4.6663800831958	11.2706791866989	3.41590090457048	2.80573421001534	5.05708747602449	7.22431442153811	2.75099281923212	3.60332920659046	5.17625185450706	3.60619617876443	11.0030195105338
"ENA|HBXI01046064|HBXI01046064.1"	2.68210213793756	0	8.04085932689743	3.46366149198081	0	3.10969007122393	8.57827011270233	8.59625097247085	3.38661591433476	8.75967558761948	0	0	0	0	2.3436954957229	0	0	0	0	0	0	0	0	0	0	0
"ENA|HBXI01045892|HBXI01045892.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68769199514816	6.38824511303289	3.19472812232366	5.68088330886385	7.07920689604486	4.51569814630314	0	0	4.34095829502534	0	4.11577939441507	4.64685312370614
"ENA|HBXI01033815|HBXI01033815.1"	10.0345549240825	10.6723592671405	10.0789201864075	10.8134988779618	10.7859860585595	10.2671277033018	10.4659217444235	10.1358019605406	9.92610280700447	10.5721758256742	10.8239360103786	10.2964580907428	11.6669056844901	11.2218962976784	10.933583984559	11.2253062883224	11.0330637783964	11.1928545750886	11.1017910691131	11.0195889598815	11.263226422286	10.4319248820772	10.7807333551928	11.2525887928145	11.1572684767191	10.9607404100201
"ENA|HBXI01055480|HBXI01055480.1"	0	3.26970347868219	0	9.21165864051142	8.20131954138414	0	0	8.88827603592057	0	8.96796619945915	9.47590055810826	7.60071492601648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENA|HBXI01009852|HBXI01009852.1"	8.0926449169096	7.85498971987063	7.311198367657	8.58368653567758	8.7481566518721	8.09385051676156	7.81697008665547	7.6718465056023	8.06294651092518	7.97311981031227	8.48727727294682	8.14329279239309	8.60424259485237	8.89870724971946	9.11085397122811	8.95372205232819	8.46824821819074	8.82559117392034	9.08716563890007	8.57837092666088	8.83493965799639	8.61367109901814	8.44203165652162	9.09263149237282	9.20033679385905	8.7783720832913
"ENA|HBXI01131309|HBXI01131309.1"	2.68210213793756	6.35194301555955	8.78223480416739	9.47835139637845	2.76493027986221	3.10969007122393	10.1748807006449	4.37989220858434	3.58916628160216	5.91649017563834	0	1.92549249700505	3.51597449939899	3.34057142656394	2.55856507467173	2.63857229992122	7.77325136160104	4.12467460342324	3.03396364537237	2.04439277895816	2.12113318655079	1.95080475838256	2.33797016488402	3.48251017898963	3.12739589325647	3.38529226229254
"ENA|HBXI01073454|HBXI01073454.1"	7.62298972941747	7.09201910792158	6.86538155210281	7.24302615886819	7.93357478131017	7.12564571878992	6.66174223115789	7.09706275223778	7.28068020520085	7.04090608515679	8.05587946062883	7.44722568202108	8.20559337598845	8.18804667738339	8.14496425685158	8.09636228814052	7.6614565436447	7.92378090842884	8.3424107223882	8.18280638481579	7.77329145118905	7.97867616051818	7.96831158679931	8.04308992745498	7.83287621255461	8.22849085853912
"ENA|HBXI01107856|HBXI01107856.1"	9.14073260674949	9.0789507040321	9.30436911328821	8.98967170595042	8.98114534489006	9.22295367046422	9.20056892550799	9.26983954228285	8.7153808435881	8.94728246092769	8.60077072401222	8.89715889057659	7.80142005756973	8.10676061320519	8.55456241156875	8.26519089354317	8.61050826305817	8.68007854989879	8.11809440357541	8.70620643350828	7.80245319950359	8.30926910810874	8.91782863430495	8.18744087972366	8.65300763560198	8.42156757569482
"ENA|HBXI01001950|HBXI01001950.1"	9.14626099762793	8.91063942616169	9.47302061714779	8.71741373753621	8.85677624611633	9.22602136772456	9.39766105620999	9.21819369880535	8.67143208706072	9.10500029896346	8.77633535269504	8.87439722929429	7.84970476925801	8.33124806811224	8.4541834390401	8.26519089354317	8.67526332314645	8.40750923232943	8.39984743675059	8.75572038840693	8.25683290941921	8.54890840307759	8.93884701855819	7.85411336804299	8.37520666044946	7.94142836015015
"ENA|HBXI01001274|HBXI01001274.1"	8.39621956100443	7.94208596043438	7.92629721400751	8.0166600553813	8.22387422551676	8.03908911456996	7.69448124677999	7.82380984155875	7.85765226403505	7.83982215822359	8.10935013857796	8.42753456246816	8.54682198324761	8.38477229900604	8.62178655229238	8.43095755141173	8.15396314356848	8.39926603429288	8.70754201396453	8.43375752703712	8.23560826323285	8.53411317627227	8.55913022144038	8.49918571981242	8.54755261351543	8.64232533728406
"ENA|HBXI01087903|HBXI01087903.1"	8.53333374700359	8.46949200013506	8.2742271103498	8.48326434244951	8.88888800639238	8.47010841435896	8.62545406470006	8.21145566482227	8.15757833929841	8.52858504060948	8.88881762188137	8.87439722929429	8.94153141129577	8.62890217608433	9.23705356719469	9.2318240375172	8.88143552006167	9.01552931710394	9.17053978028406	9.29241573598586	8.84548583884144	9.31998966366756	9.06711118868159	9.1312291139539	9.09539317609946	8.87127611997455
"ENA|HBXI01033818|HBXI01033818.1"	12.3203542183434	12.1341597003148	12.386029155235	12.3547617331165	12.3014962233543	12.1446681158395	12.180541646479	12.136655354444	12.1166746823171	12.0098955460666	12.1647016328342	12.1313191108463	12.1790276431312	11.8429664080139	11.8692655802855	11.7798256882472	11.9994822675194	11.6876134169218	11.6709768481725	11.9713920952919	12.1127824602681	11.7486275685359	11.9325348559119	11.7485931043403	11.7793775119904	11.9481988754401
"ENA|HBXI01036729|HBXI01036729.1"	11.6200907918937	11.7166582003751	11.8470601949595	11.5743028578457	11.5476125457277	11.8105083770688	11.5615475543582	11.5220684640044	11.3936003035165	11.5355924150416	11.4229182541488	11.713987023923	11.1101018181336	10.8376722499427	11.2987271820187	11.1559441669718	11.3999665819078	11.3422302171906	11.2332863407555	11.2287918748981	11.218625301064	11.4072484895676	11.3475697758619	11.0703072459002	11.3549179358064	11.4838386662201
"ENA|HBXI01044761|HBXI01044761.1"	4.10883479451648	3.1183567960627	3.46621934281657	3.46366149198081	4.59625572437557	3.10969007122393	3.01072289812989	3.92192008128114	4.06732120675756	3.85440748549673	4.39888453469138	3.3686123973026	4.45149832763421	4.32343977310559	4.84382720773696	5.23227924067472	4.24361948973195	4.76113849649383	4.64204086987985	4.86418443607515	5.06120447260704	4.46052035220098	4.92625242848823	5.28295391203414	4.83364341710379	4.59651701941651
"ENA|HBXI01047963|HBXI01047963.1"	8.81944333949562	8.25038039753645	8.22175879512235	8.29201989590377	9.34748938025913	9.5705789503263	7.00083690424627	8.79938640581923	8.40239916695642	7.90324483241305	9.20447772738224	8.08995626825461	9.80117296665335	10.2425719713718	10.5414594755541	10.0432216588637	9.94103372975176	10.0302390091962	9.07439366421951	9.64940412190973	9.49450833509378	10.1831952819856	9.63654838014276	8.25016088617169	10.031447181991	10.975587129377
"ENA|HBXI01073138|HBXI01073138.1"	8.20815611276673	8.26396770777607	8.02424428387625	8.03254038011104	7.69612317076015	8.10055181883989	8.19608977292738	7.93925953392167	7.39993926448482	7.85470757783072	7.16981892784366	7.79503009544584	6.95858761815142	7.15498005295158	7.07353315893651	7.43875849352908	7.51475593284075	7.55962345127208	6.82848236734245	7.28732585156501	7.16940881347285	7.32674554616091	7.25829790415213	6.86606782374703	7.39067631065742	7.7358801280733
